name,internal_id_number
BEATUS FAMILIA TRUST,T0058
EMPOWERMENT TRADING TRUST,T0059
DARRYL RAHME FAMILY TRUST,T0060
STAVROU FAMILY TRUST,T0061
RdJ TRUST,T0062
PETRO TRUST,T0063
R & D TRUST,T0064
PAMU TRUST RESIGNED,T0065
HILLSIDE FAMILY TRUST,T0068
CLC MAKHETHA FAMILY TRUST,T0069
ETHANDI TRUST,T0070
ELIZABETH NCUBE FAMILY TRUST,T0071
TETHYS TRUST,T0072
RED BRIJ TRUST,T0073
EVANGELOS VRYSOULIS FAMILY TRUST,T0074
MOODLEY FAMILY TRUST,T0075
KONSTANTINOS GIULEAS FAMILY TRUST,T0076
TUKULA TRUST,T0077
JOHNNY ELIADES FAMILY TRUST,T0080
PC FAMILY TRUST,T0081
CARLO RAMOS FAMILY TRUST,T0082
KAMENOS TRUST FUND,T0083
ARCAS TRUST,T0084
SAVVAS FAMILY TRUST,T0088
SPEELMAN FAMILY TRUST,T0089
GAMBALE FAMILY TRUST,T0090
TSHEGOFATSO TRUST,T0091
STOLTZ FAMILY TRUST,T0093
MIDAS HOLDINGS TRUST,T0094
SAVVAS FAMILY TRUST (Cape Town),T0095
PIETER VAN DER WESTHUIZEN TRUST,T0096
THE KHANYAMOLEMO INVESTMENTS TRUST,T0097
THE J & M TRUST,T0098
PARADIE  TRUST,T0099
MILLA VAN DER WESTHUIZEN TRUST,T0100
SWART FAMILY TRUST,T0101
DIE ANNICO TRUST,T0102
KHANYAMOLEMO TRUST,T0103
MORASCHA TRUST,T0104
BIG G TRUST,T0105
EVERSON TRUST,T0106
NIKLIKI TRUST,T0107
RUTENBERG FAMILY TRUST,T0111
